SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22023,1610612744,GSW,Golden State Warriors,22301182,2024-04-12,GSW vs. NOP,L,240,40,86,0.465,13,34,0.382,16,21,0.762,11,42,53,27,6,5,16,15,109,-5,1
22023,1610612744,GSW,Golden State Warriors,22301097,2024-04-05,GSW @ DAL,L,240,41,93,0.441,12,35,0.343,12,18,0.667,11,33,44,27,12,5,15,19,106,-2,1
22023,1610612744,GSW,Golden State Warriors,22301049,2024-03-27,GSW @ ORL,W,240,40,90,0.444,10,34,0.294,11,13,0.846,12,40,52,26,5,5,13,18,101,8,1
22023,1610612744,GSW,Golden State Warriors,22300907,2024-03-07,GSW vs. CHI,L,240,44,97,0.454,11,42,0.262,23,28,0.821,13,35,48,31,8,2,11,22,122,-3,1
22023,1610612744,GSW,Golden State Warriors,22300860,2024-03-01,GSW @ TOR,W,240,44,98,0.449,18,44,0.409,14,18,0.778,15,41,56,26,10,5,14,14,120,15,1
22023,1610612744,GSW,Golden State Warriors,22300811,2024-02-23,GSW vs. CHA,W,240,38,89,0.427,13,42,0.31,8,10,0.8,13,40,53,28,7,7,22,15,97,13,1
22023,1610612744,GSW,Golden State Warriors,22300576,2024-02-15,GSW @ UTA,W,240,49,92,0.533,20,42,0.476,22,28,0.786,13,28,41,42,8,6,13,19,140,3,1
22023,1610612744,GSW,Golden State Warriors,22300733,2024-02-08,GSW @ IND,W,240,52,93,0.559,17,32,0.531,10,13,0.769,10,39,49,33,7,7,17,22,131,22,1
22023,1610612744,GSW,Golden State Warriors,22300699,2024-02-03,GSW @ ATL,L,265,50,112,0.446,18,56,0.321,16,20,0.8,14,43,57,26,4,7,14,23,134,-7,1
22023,1610612744,GSW,Golden State Warriors,22300632,2024-01-25,GSW vs. SAC,L,240,48,86,0.558,19,37,0.514,18,23,0.783,6,27,33,30,7,3,13,19,133,-1,1
22023,1610612744,GSW,Golden State Warriors,22300545,2024-01-13,GSW @ MIL,L,240,47,98,0.48,15,36,0.417,9,14,0.643,12,29,41,23,5,4,8,16,118,-11,1
22023,1610612744,GSW,Golden State Warriors,22300490,2024-01-05,GSW vs. DET,W,240,38,82,0.463,16,38,0.421,21,25,0.84,7,38,45,24,3,5,19,18,113,4,1
22023,1610612744,GSW,Golden State Warriors,22300399,2023-12-23,GSW vs. POR,W,240,48,83,0.578,10,33,0.303,20,24,0.833,13,36,49,38,8,2,18,14,126,20,1
22023,1610612744,GSW,Golden State Warriors,22300348,2023-12-17,GSW @ POR,W,240,46,87,0.529,13,38,0.342,13,19,0.684,11,32,43,31,10,4,14,20,118,4,1
22023,1610612744,GSW,Golden State Warriors,22300186,2023-11-12,GSW vs. MIN,L,240,37,96,0.385,12,43,0.279,24,28,0.857,19,32,51,24,9,0,14,28,110,-6,1
22023,1610612744,GSW,Golden State Warriors,22300145,2023-11-06,GSW @ DET,W,240,46,97,0.474,12,41,0.293,16,21,0.762,17,27,44,26,8,4,11,14,120,11,1
22023,1610612744,GSW,Golden State Warriors,22300108,2023-10-30,GSW @ NOP,W,240,51,98,0.52,15,41,0.366,13,20,0.65,21,43,64,28,6,7,15,21,130,28,1
22023,1610612737,ATL,Atlanta Hawks,22301159,2024-04-10,ATL vs. CHA,L,240,43,82,0.524,18,40,0.45,10,16,0.625,7,31,38,35,7,2,18,20,114,-1,1
22023,1610612737,ATL,Atlanta Hawks,22301124,2024-04-04,ATL @ DAL,L,240,34,85,0.4,13,38,0.342,14,21,0.667,11,45,56,21,7,2,21,22,95,-14,1
22023,1610612737,ATL,Atlanta Hawks,22301060,2024-03-28,ATL vs. BOS,W,265,51,104,0.49,15,44,0.341,6,10,0.6,17,36,53,24,5,5,11,17,123,1,1
22023,1610612737,ATL,Atlanta Hawks,22300990,2024-03-18,ATL @ LAL,L,240,42,98,0.429,9,41,0.22,12,15,0.8,12,30,42,32,8,5,9,14,105,-31,1
22023,1610612737,ATL,Atlanta Hawks,22300895,2024-03-06,ATL vs. CLE,W,240,43,84,0.512,11,30,0.367,15,20,0.75,8,34,42,27,7,3,11,17,112,11,1
22023,1610612737,ATL,Atlanta Hawks,22300754,2024-02-10,ATL vs. HOU,W,240,40,88,0.455,14,41,0.341,28,37,0.757,9,32,41,25,7,8,11,18,122,9,1
22023,1610612737,ATL,Atlanta Hawks,22300699,2024-02-03,ATL vs. GSW,W,265,55,114,0.482,14,43,0.326,17,22,0.773,16,41,57,27,5,4,8,20,141,7,1
22023,1610612737,ATL,Atlanta Hawks,22300595,2024-01-20,ATL vs. CLE,L,240,37,93,0.398,11,38,0.289,10,15,0.667,11,34,45,25,5,4,11,15,95,-21,1
22023,1610612737,ATL,Atlanta Hawks,22300543,2024-01-13,ATL vs. WAS,L,240,32,93,0.344,11,40,0.275,24,33,0.727,16,34,50,21,9,7,16,20,99,-28,1
