SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,AVAILABLE_FLAG
2023-24,1610612744,GSW,Golden State Warriors,22301182,2024-04-12T00:00:00,GSW vs. NOP,L,48,108.7,107.9,112.8,111.8,-4.1,-3.8,0.675,1.69,19.3,0.245,0.88,0.566,0.158,0.541,0.572,100.6,101.5,84.58,101,0.498,1,1231,1231,1231,119,1757,997,1403,768,1651,1115,1648,23,249,1783,1309,1351,659,1248,1
2023-24,1610612744,GSW,Golden State Warriors,22301097,2024-04-05T00:00:00,GSW @ DAL,L,48,101.0,102.9,104.6,105.9,-3.6,-3.0,0.659,1.8,18.5,0.291,0.778,0.51,0.146,0.505,0.525,104.1,102.5,85.42,103,0.474,1,1231,1231,1231,119,2074,569,1361,972,1477,1372,1101,528,1060,1501,1841,2000,521,1474,1
2023-24,1610612744,GSW,Golden State Warriors,22301049,2024-03-27T00:00:00,GSW @ ORL,W,48,104.4,107.4,97.6,101.1,6.8,6.4,0.65,2.0,19.0,0.36,0.778,0.577,0.138,0.5,0.528,96.0,93.0,77.5,94,0.545,1,1,1,1,119,1790,321,858,1060,1161,1217,342,528,161,1302,1870,1988,2241,791,1
2023-24,1610612744,GSW,Golden State Warriors,22300907,2024-03-07T00:00:00,GSW vs. CHI,L,48,113.7,117.3,120.1,121.4,-6.4,-4.1,0.705,2.82,20.0,0.364,0.818,0.566,0.106,0.51,0.558,105.7,103.5,86.25,104,0.492,1,1231,1231,1231,119,1010,1762,1422,524,425,868,311,193,249,529,1784,1593,357,1297,1
2023-24,1610612744,GSW,Golden State Warriors,22300860,2024-03-01T00:00:00,GSW @ TOR,W,48,114.4,114.3,99.5,101.0,14.8,13.3,0.591,1.86,17.4,0.327,0.75,0.541,0.133,0.541,0.566,105.2,104.5,87.08,105,0.549,1,1,1,1,119,1238,287,475,1661,1392,1676,638,828,524,1159,1307,1441,269,743,1
2023-24,1610612744,GSW,Golden State Warriors,22300811,2024-02-23T00:00:00,GSW vs. CHA,W,48,94.7,98.0,85.0,84.0,9.7,14.0,0.737,1.27,19.3,0.353,0.75,0.561,0.222,0.5,0.519,100.6,99.5,82.92,99,0.584,1,1,1,1,119,2266,15,436,306,2203,1106,398,828,301,2420,1870,2070,1069,372,1
2023-24,1610612744,GSW,Golden State Warriors,22300576,2024-02-15T00:00:00,GSW @ UTA,W,48,134.2,135.9,129.1,131.7,5.1,4.2,0.857,3.23,26.4,0.304,0.56,0.438,0.126,0.641,0.671,105.2,103.5,86.25,103,0.53,1,1,1,1,119,91,2283,1026,15,242,16,914,2416,2177,977,191,179,357,957,1
2023-24,1610612744,GSW,Golden State Warriors,22300733,2024-02-08T00:00:00,GSW @ IND,W,48,123.9,131.0,109.1,109.0,14.8,22.0,0.635,1.94,22.0,0.395,0.833,0.626,0.17,0.651,0.663,102.8,100.0,83.33,100,0.577,1,1,1,1,119,196,789,182,1201,1259,399,153,114,19,2000,146,220,963,445,1
2023-24,1610612744,GSW,Golden State Warriors,22300699,2024-02-03T00:00:00,GSW @ ATL,L,53,110.9,115.5,121.9,121.6,-11.0,-6.0,0.52,1.86,16.3,0.292,0.726,0.504,0.121,0.527,0.555,107.1,105.06,87.55,116,0.465,1,1231,1231,1231,17,1154,1776,1579,2197,1392,2015,1077,1147,1190,875,1514,1642,219,1566,1
2023-24,1610612744,GSW,Golden State Warriors,22300632,2024-01-25T00:00:00,GSW vs. SAC,L,48,129.0,137.1,132.2,136.7,-3.2,0.4,0.625,2.31,21.7,0.275,0.659,0.476,0.134,0.669,0.692,102.2,97.5,81.25,97,0.492,1,1231,1231,1231,119,78,2379,1219,1311,809,441,1290,1950,1648,1182,92,90,1551,1299,1
